Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-242hard/0medium/0soft         matches=129
          phase-order                                   score=-5619hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26806hard/0medium/0soft       matches=3131
Stage1  | t+ 3448s | total=-127553hard/0medium/-731842soft         
          block-end-within-window                       score=-1283hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-60624hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4066hard/0medium/0soft        matches=207
          emp-one-task-per-day                          score=-3633hard/0medium/0soft        matches=3130
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-241hard/0medium/0soft         matches=128
          phase-order                                   score=-5619hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26726hard/0medium/0soft       matches=3130
Stage1  | t+ 3449s | total=-127516hard/0medium/-732002soft         
          block-end-within-window                       score=-1283hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-60662hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4066hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3630hard/0medium/0soft        matches=3135
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-241hard/0medium/0soft         matches=128
          phase-order                                   score=-5619hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26654hard/0medium/0soft       matches=3135
Stage1  | t+ 3453s | total=-127275hard/0medium/-727286soft         
          block-end-within-window                       score=-1274hard/0medium/0soft        matches=133
          block-no-underfill                            score=-27440hard/0medium/0soft       matches=86
          block-overfill-at-most-one-day                score=-60460hard/0medium/0soft       matches=441
          emp-monthly-overtime-limit                    score=-4012hard/0medium/0soft        matches=215
